"ANIMALID","DATE","LONGITUDE","LATITUDE","DELETED"
"M2","2011-06-08 04:31:01.000","145.439009","-16.017923","FALSE"
"M2","2011-06-08 05:01:00.000","145.43916","-16.017366","FALSE"
"M2","2011-06-08 05:30:56.000","145.439001","-16.016989","FALSE"
"M2","2011-06-08 06:31:01.000","145.438181","-16.015121","FALSE"
"M2","2011-06-08 07:00:29.000","145.438753","-16.015672","FALSE"
"M2","2011-06-08 07:30:28.000","145.438468","-16.015635","FALSE"
"M2","2011-06-08 08:01:01.000","145.438849","-16.015581","FALSE"
"M2","2011-06-08 19:00:51.000","145.439139","-16.015673","FALSE"
"M2","2011-06-08 20:31:01.000","145.438688","-16.01548","FALSE"
"M2","2011-06-08 21:00:43.000","145.438946","-16.014737","FALSE"
"M2","2011-06-08 21:30:50.000","145.439445","-16.014619","FALSE"
"M2","2011-06-08 22:30:35.000","145.439633","-16.015308","FALSE"
"M2","2011-06-08 23:00:17.000","145.440323","-16.016195","FALSE"
"M2","2011-06-09 02:00:52.000","145.443066","-16.016591","FALSE"
"M2","2011-06-09 02:30:53.000","145.442228","-16.017211","FALSE"
"M2","2011-06-09 03:01:01.000","145.442589","-16.017374","FALSE"
"M2","2011-06-09 03:31:00.000","145.441919","-16.017129","FALSE"
"M2","2011-06-09 04:01:01.000","145.441724","-16.017211","FALSE"
"M2","2011-06-09 04:31:01.000","145.441778","-16.017932","FALSE"
"M2","2011-06-09 05:31:01.000","145.441469","-16.018294","FALSE"
"M2","2011-06-09 06:01:01.000","145.441616","-16.018686","FALSE"
"M2","2011-06-09 07:00:30.000","145.441506","-16.018821","FALSE"
"M2","2011-06-09 07:30:43.000","145.441557","-16.018786","FALSE"
"M2","2011-06-09 08:00:55.000","145.441162","-16.019098","FALSE"
"M2","2011-06-09 09:30:54.000","145.441353","-16.018783","FALSE"
"M2","2011-06-09 20:30:34.000","145.441576","-16.018726","FALSE"
"M2","2011-06-09 21:01:01.000","145.441392","-16.01798","FALSE"
"M2","2011-06-09 21:30:43.000","145.441102","-16.017464","FALSE"
"M2","2011-06-09 22:00:59.000","145.441595","-16.016742","FALSE"
"M2","2011-06-10 00:00:44.000","145.441542","-16.016372","FALSE"
"M2","2011-06-10 00:30:43.000","145.442268","-16.016009","FALSE"
"M2","2011-06-10 03:01:01.000","145.441916","-16.01605","FALSE"
"M2","2011-06-10 03:30:42.000","145.442534","-16.01544","FALSE"
"M2","2011-06-10 04:00:13.000","145.441923","-16.015421","FALSE"
"M2","2011-06-10 04:30:14.000","145.442626","-16.015408","FALSE"
"M2","2011-06-10 05:30:37.000","145.443341","-16.015854","FALSE"
"M2","2011-06-10 06:31:01.000","145.443326","-16.012837","FALSE"
"M2","2011-06-10 07:00:30.000","145.442593","-16.013876","FALSE"
"M2","2011-06-10 07:30:48.000","145.443098","-16.01513","FALSE"
"M2","2011-06-10 20:01:01.000","145.442864","-16.015259","FALSE"
"M2","2011-06-10 22:00:50.000","145.441428","-16.016266","FALSE"
"M2","2011-06-10 22:30:53.000","145.441171","-16.015935","FALSE"
"M2","2011-06-11 00:00:31.000","145.441048","-16.016073","FALSE"
"M2","2011-06-11 01:30:06.000","145.442533","-16.016582","FALSE"
"M2","2011-06-11 02:30:53.000","145.443014","-16.01618","FALSE"
"M2","2011-06-11 03:00:59.000","145.443727","-16.015917","FALSE"
"M2","2011-06-11 03:31:01.000","145.444281","-16.01486","FALSE"
"M2","2011-06-11 17:01:01.000","145.443315","-16.015675","FALSE"
"M2","2011-06-11 17:30:43.000","145.443132","-16.015515","FALSE"
"M2","2011-06-11 20:01:01.000","145.443173","-16.01563","FALSE"
"M2","2011-06-11 20:30:34.000","145.443075","-16.015645","FALSE"
"M2","2011-06-11 21:01:00.000","145.443105","-16.015652","FALSE"
"M2","2011-06-11 22:00:37.000","145.442455","-16.015312","FALSE"
"M2","2011-06-11 22:30:10.000","145.442525","-16.015732","FALSE"
"M2","2011-06-12 03:30:39.000","145.442173","-16.017918","FALSE"
"M2","2011-06-12 05:00:37.000","145.442046","-16.018033","FALSE"
"M2","2011-06-12 07:30:43.000","145.441587","-16.018975","FALSE"
"M2","2011-06-12 09:31:01.000","145.441264","-16.01912","FALSE"
"M2","2011-06-12 19:30:45.000","145.441534","-16.018992","FALSE"
"M2","2011-06-12 20:01:01.000","145.441489","-16.018917","FALSE"
"M2","2011-06-12 22:00:34.000","145.443755","-16.018904","FALSE"
"M2","2011-06-12 22:30:23.000","145.444138","-16.018252","FALSE"
"M2","2011-06-12 23:00:20.000","145.443962","-16.017258","FALSE"
"M2","2011-06-12 23:30:57.000","145.444044","-16.017075","FALSE"
"M2","2011-06-13 00:00:47.000","145.443916","-16.017245","FALSE"
"M2","2011-06-13 01:30:57.000","145.442684","-16.017403","FALSE"
"M2","2011-06-13 02:00:50.000","145.441358","-16.018024","FALSE"
"M2","2011-06-13 02:31:01.000","145.441058","-16.018247","FALSE"
"M2","2011-06-13 03:00:39.000","145.439632","-16.017816","FALSE"
"M2","2011-06-13 03:31:01.000","145.439844","-16.017478","FALSE"
"M2","2011-06-13 20:30:56.000","145.441805","-16.016221","FALSE"
"M2","2011-06-13 21:31:02.000","145.442756","-16.016166","FALSE"
"M2","2011-06-13 22:00:40.000","145.442836","-16.015459","FALSE"
"M2","2011-06-13 22:30:36.000","145.442208","-16.015543","FALSE"
"M2","2011-06-13 23:30:31.000","145.442269","-16.014443","FALSE"
"M2","2011-06-14 00:00:39.000","145.44272","-16.015267","FALSE"
"M2","2011-06-14 01:30:42.000","145.442505","-16.015216","FALSE"
"M2","2011-06-14 02:01:00.000","145.443103","-16.015408","FALSE"
"M2","2011-06-14 02:30:38.000","145.4434","-16.016032","FALSE"
"M2","2011-06-14 04:00:53.000","145.446921","-16.014761","FALSE"
"M2","2011-06-14 05:00:59.000","145.448969","-16.013168","FALSE"
"M2","2011-06-14 07:00:38.000","145.447738","-16.013365","FALSE"
"M2","2011-06-14 07:30:47.000","145.447778","-16.013261","FALSE"
"M2","2011-06-14 08:01:00.000","145.447761","-16.013322","FALSE"
"M2","2011-06-14 17:01:01.000","145.447753","-16.013404","FALSE"
"M2","2011-06-14 20:31:01.000","145.447772","-16.013313","FALSE"
"M2","2011-06-14 21:01:01.000","145.448126","-16.014338","FALSE"
"M2","2011-06-14 22:01:01.000","145.445782","-16.014947","FALSE"
"M2","2011-06-14 23:30:16.000","145.443174","-16.015529","FALSE"
"M2","2011-06-15 01:30:31.000","145.441461","-16.01742","FALSE"
"M2","2011-06-15 02:00:08.000","145.441448","-16.017402","FALSE"
"M2","2011-06-15 02:31:02.000","145.441412","-16.017446","FALSE"
"M2","2011-06-15 03:01:02.000","145.44137","-16.018477","FALSE"
"M2","2011-06-15 03:30:39.000","145.44138","-16.018923","FALSE"
"M2","2011-06-15 04:31:01.000","145.441982","-16.019714","FALSE"
"M2","2011-06-15 07:00:35.000","145.443634","-16.020367","FALSE"
"M2","2011-06-15 08:30:59.000","145.443502","-16.020363","FALSE"
"M2","2011-06-15 09:00:36.000","145.443285","-16.020424","FALSE"
"M2","2011-06-15 17:30:47.000","145.443439","-16.020214","FALSE"
"M2","2011-06-15 18:31:01.000","145.443358","-16.020153","FALSE"
"M2","2011-06-15 19:30:30.000","145.443466","-16.020395","FALSE"
"M2","2011-06-15 20:00:34.000","145.443598","-16.020337","FALSE"
"M2","2011-06-15 21:01:00.000","145.443725","-16.020519","FALSE"
"M2","2011-06-15 21:30:41.000","145.444746","-16.021015","FALSE"
"M2","2011-06-15 22:00:49.000","145.44633","-16.021586","FALSE"
"M2","2011-06-15 22:30:21.000","145.446721","-16.017107","FALSE"
"M2","2011-06-16 00:00:42.000","145.444626","-16.015863","FALSE"
"M2","2011-06-16 03:01:01.000","145.444634","-16.015138","FALSE"
"M2","2011-06-16 07:01:01.000","145.443488","-16.012853","FALSE"
"M2","2011-06-16 22:30:22.000","145.443456","-16.011389","FALSE"
"M2","2011-06-17 02:01:01.000","145.444695","-16.011554","FALSE"
"M2","2011-06-17 02:31:01.000","145.444839","-16.012006","FALSE"
"M2","2011-06-17 04:01:01.000","145.445194","-16.011548","FALSE"
"M2","2011-06-17 07:31:01.000","145.445057","-16.012749","FALSE"
"M2","2011-06-17 17:00:55.000","145.445109","-16.012754","FALSE"
